# H AMS02(2012/06-2012/07)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 9.671959e+02 -6.227544e+00 6.227544e+00 -3.541206e+01 3.541206e+01 3.595548e+01 3.595548e+01
6.207188e-01 5.564008e-01 6.924719e-01 9.261137e+02 -3.468372e+00 3.468372e+00 -2.818831e+01 2.818831e+01 2.840089e+01 2.840089e+01
7.640104e-01 6.924719e-01 8.429394e-01 8.464126e+02 -2.831302e+00 2.831302e+00 -2.115680e+01 2.115680e+01 2.134541e+01 2.134541e+01
9.254392e-01 8.429394e-01 1.016013e+00 7.625147e+02 -1.917307e+00 1.917307e+00 -1.742343e+01 1.742343e+01 1.752860e+01 1.752860e+01
1.105475e+00 1.016013e+00 1.202814e+00 6.765903e+02 -1.577927e+00 1.577927e+00 -1.413744e+01 1.413744e+01 1.422523e+01 1.422523e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.924777e+02 -1.281537e+00 1.281537e+00 -1.141401e+01 1.141401e+01 1.148573e+01 1.148573e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.120609e+02 -1.059859e+00 1.059859e+00 -9.163752e+00 9.163752e+00 9.224839e+00 9.224839e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.411517e+02 -8.642277e-01 8.642277e-01 -7.333803e+00 7.333803e+00 7.384548e+00 7.384548e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.733719e+02 -7.080204e-01 7.080204e-01 -5.884608e+00 5.884608e+00 5.927049e+00 5.927049e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.145858e+02 -5.743754e-01 5.743754e-01 -4.787367e+00 4.787367e+00 4.821700e+00 4.821700e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.641288e+02 -4.757147e-01 4.757147e-01 -3.822318e+00 3.822318e+00 3.851807e+00 3.851807e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.203370e+02 -3.935017e-01 3.935017e-01 -3.081261e+00 3.081261e+00 3.106286e+00 3.106286e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.830299e+02 -3.144796e-01 3.144796e-01 -2.553859e+00 2.553859e+00 2.573149e+00 2.573149e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.507618e+02 -2.508817e-01 2.508817e-01 -2.034913e+00 2.034913e+00 2.050320e+00 2.050320e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.234858e+02 -2.048677e-01 2.048677e-01 -1.622813e+00 1.622813e+00 1.635693e+00 1.635693e+00
4.773400e+00 4.519107e+00 5.042003e+00 1.004539e+02 -1.683001e-01 1.683001e-01 -1.314777e+00 1.314777e+00 1.325505e+00 1.325505e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.154512e+01 -1.373830e-01 1.373830e-01 -1.049508e+00 1.049508e+00 1.058462e+00 1.058462e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.616494e+01 -1.105615e-01 1.105615e-01 -8.361832e-01 8.361832e-01 8.434608e-01 8.434608e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.323800e+01 -8.967545e-02 8.967545e-02 -6.739916e-01 6.739916e-01 6.799311e-01 6.799311e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.282384e+01 -7.388814e-02 7.388814e-02 -5.425176e-01 5.425176e-01 5.475261e-01 5.475261e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.444708e+01 -6.150489e-02 6.150489e-02 -4.315627e-01 4.315627e-01 4.359234e-01 4.359234e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.755237e+01 -5.157250e-02 5.157250e-02 -3.410616e-01 3.410616e-01 3.449387e-01 3.449387e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.217042e+01 -4.360818e-02 4.360818e-02 -2.806086e-01 2.806086e-01 2.839769e-01 2.839769e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.772200e+01 -3.610844e-02 3.610844e-02 -2.204042e-01 2.204042e-01 2.233424e-01 2.233424e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.425635e+01 -3.155001e-02 3.155001e-02 -1.802742e-01 1.802742e-01 1.830142e-01 1.830142e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.152999e+01 -2.629356e-02 2.629356e-02 -1.501234e-01 1.501234e-01 1.524086e-01 1.524086e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.288572e+00 -2.192317e-02 2.192317e-02 -1.180799e-01 1.180799e-01 1.200978e-01 1.200978e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.482452e+00 -1.827687e-02 1.827687e-02 -9.504511e-02 9.504511e-02 9.678645e-02 9.678645e-02
1.637917e+01 1.569509e+01 1.709306e+01 5.981527e+00 -1.507342e-02 1.507342e-02 -7.701747e-02 7.701747e-02 7.847865e-02 7.847865e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.823715e+00 -1.238577e-02 1.238577e-02 -6.200437e-02 6.200437e-02 6.322934e-02 6.322934e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.904728e+00 -1.030479e-02 1.030479e-02 -5.000083e-02 5.000083e-02 5.105166e-02 5.105166e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.156641e+00 -8.685736e-03 8.685736e-03 -4.099350e-02 4.099350e-02 4.190357e-02 4.190357e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.537524e+00 -7.142744e-03 7.142744e-03 -3.298839e-02 3.298839e-02 3.375282e-02 3.375282e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.043361e+00 -6.072188e-03 6.072188e-03 -2.599144e-02 2.599144e-02 2.669132e-02 2.669132e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.654151e+00 -5.237858e-03 5.237858e-03 -2.099243e-02 2.099243e-02 2.163602e-02 2.163602e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.340928e+00 -4.496418e-03 4.496418e-03 -1.699400e-02 1.699400e-02 1.757879e-02 1.757879e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.088524e+00 -3.962778e-03 3.962778e-03 -1.399452e-02 1.399452e-02 1.454477e-02 1.454477e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.827621e-01 -3.425988e-03 3.425988e-03 -1.149448e-02 1.149448e-02 1.199418e-02 1.199418e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.223148e-01 -2.983880e-03 2.983880e-03 -9.295723e-03 9.295723e-03 9.762889e-03 9.762889e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.877477e-01 -2.598035e-03 2.598035e-03 -7.596332e-03 7.596332e-03 8.028328e-03 8.028328e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.740399e-01 -2.256872e-03 2.256872e-03 -6.197074e-03 6.197074e-03 6.595241e-03 6.595241e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.884996e-01 -1.979849e-03 1.979849e-03 -5.097606e-03 5.097606e-03 5.468582e-03 5.468582e-03
4.939300e+01 4.757793e+01 5.127730e+01 3.155442e-01 -1.708141e-03 1.708141e-03 -4.197749e-03 4.197749e-03 4.531980e-03 4.531980e-03
