# H AMS02(2012/08-2012/10)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 7.902013e+02 -4.569547e+00 4.569547e+00 -3.541206e+01 3.541206e+01 3.570567e+01 3.570567e+01
6.207188e-01 5.564008e-01 6.924719e-01 7.593527e+02 -2.825881e+00 2.825881e+00 -2.818831e+01 2.818831e+01 2.832960e+01 2.832960e+01
7.640104e-01 6.924719e-01 8.429394e-01 7.079493e+02 -2.336861e+00 2.336861e+00 -2.115680e+01 2.115680e+01 2.128547e+01 2.128547e+01
9.254392e-01 8.429394e-01 1.016013e+00 6.479594e+02 -1.637447e+00 1.637447e+00 -1.742343e+01 1.742343e+01 1.750020e+01 1.750020e+01
1.105475e+00 1.016013e+00 1.202814e+00 5.805315e+02 -1.363336e+00 1.363336e+00 -1.413744e+01 1.413744e+01 1.420302e+01 1.420302e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.179508e+02 -1.121734e+00 1.121734e+00 -1.141401e+01 1.141401e+01 1.146900e+01 1.146900e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.562544e+02 -9.400875e-01 9.400875e-01 -9.163752e+00 9.163752e+00 9.211846e+00 9.211846e+00
1.765414e+00 1.643250e+00 1.896660e+00 3.956820e+02 -7.751545e-01 7.751545e-01 -7.333803e+00 7.333803e+00 7.374655e+00 7.374655e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.391821e+02 -6.410798e-01 6.410798e-01 -5.884608e+00 5.884608e+00 5.919425e+00 5.919425e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.915085e+02 -5.269463e-01 5.269463e-01 -4.787367e+00 4.787367e+00 4.816280e+00 4.816280e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.473912e+02 -4.404365e-01 4.404365e-01 -3.822318e+00 3.822318e+00 3.847610e+00 3.847610e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.078134e+02 -3.660718e-01 3.660718e-01 -3.081261e+00 3.081261e+00 3.102931e+00 3.102931e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.743250e+02 -2.946580e-01 2.946580e-01 -2.553859e+00 2.553859e+00 2.570801e+00 2.570801e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.453039e+02 -2.375195e-01 2.375195e-01 -2.034913e+00 2.034913e+00 2.048728e+00 2.048728e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.193655e+02 -1.949373e-01 1.949373e-01 -1.622813e+00 1.622813e+00 1.634479e+00 1.634479e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.743408e+01 -1.608068e-01 1.608068e-01 -1.314777e+00 1.314777e+00 1.324574e+00 1.324574e+00
5.316357e+00 5.042003e+00 5.605640e+00 7.983038e+01 -1.321559e-01 1.321559e-01 -1.049508e+00 1.049508e+00 1.057796e+00 1.057796e+00
