# H AMS02(2012/12-2012/12)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 7.435839e+02 -4.623351e+00 4.623351e+00 -3.541206e+01 3.541206e+01 3.571259e+01 3.571259e+01
6.207188e-01 5.564008e-01 6.924719e-01 7.339094e+02 -2.793055e+00 2.793055e+00 -2.818831e+01 2.818831e+01 2.832635e+01 2.832635e+01
7.640104e-01 6.924719e-01 8.429394e-01 7.000022e+02 -2.350311e+00 2.350311e+00 -2.115680e+01 2.115680e+01 2.128695e+01 2.128695e+01
9.254392e-01 8.429394e-01 1.016013e+00 6.505633e+02 -1.649843e+00 1.649843e+00 -1.742343e+01 1.742343e+01 1.750137e+01 1.750137e+01
1.105475e+00 1.016013e+00 1.202814e+00 5.918438e+02 -1.383572e+00 1.383572e+00 -1.413744e+01 1.413744e+01 1.420498e+01 1.420498e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.289423e+02 -1.139419e+00 1.139419e+00 -1.141401e+01 1.141401e+01 1.147074e+01 1.147074e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.664731e+02 -9.547176e-01 9.547176e-01 -9.163752e+00 9.163752e+00 9.213351e+00 9.213351e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.067284e+02 -7.888765e-01 7.888765e-01 -7.333803e+00 7.333803e+00 7.376110e+00 7.376110e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.489068e+02 -6.512040e-01 6.512040e-01 -5.884608e+00 5.884608e+00 5.920530e+00 5.920530e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.979838e+02 -5.336886e-01 5.336886e-01 -4.787367e+00 4.787367e+00 4.817023e+00 4.817023e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.521453e+02 -4.453919e-01 4.453919e-01 -3.822318e+00 3.822318e+00 3.848180e+00 3.848180e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.123656e+02 -3.704288e-01 3.704288e-01 -3.081261e+00 3.081261e+00 3.103448e+00 3.103448e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.771694e+02 -2.972725e-01 2.972725e-01 -2.553859e+00 2.553859e+00 2.571102e+00 2.571102e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.466778e+02 -2.387892e-01 2.387892e-01 -2.034913e+00 2.034913e+00 2.048876e+00 2.048876e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.207577e+02 -1.963651e-01 1.963651e-01 -1.622813e+00 1.622813e+00 1.634650e+00 1.634650e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.874236e+01 -1.623194e-01 1.623194e-01 -1.314777e+00 1.314777e+00 1.324759e+00 1.324759e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.069271e+01 -1.333223e-01 1.333223e-01 -1.049508e+00 1.049508e+00 1.057942e+00 1.057942e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.534440e+01 -1.075408e-01 1.075408e-01 -8.361832e-01 8.361832e-01 8.430702e-01 8.430702e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.278247e+01 -8.755600e-02 8.755600e-02 -6.739916e-01 6.739916e-01 6.796549e-01 6.796549e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.272116e+01 -7.255732e-02 7.255732e-02 -5.425176e-01 5.425176e-01 5.473481e-01 5.473481e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.436804e+01 -6.050242e-02 6.050242e-02 -4.315627e-01 4.315627e-01 4.357831e-01 4.357831e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.755125e+01 -5.084399e-02 5.084399e-02 -3.410616e-01 3.410616e-01 3.448306e-01 3.448306e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.223282e+01 -4.308371e-02 4.308371e-02 -2.806086e-01 2.806086e-01 2.838968e-01 2.838968e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.776311e+01 -3.569582e-02 3.569582e-02 -2.204042e-01 2.204042e-01 2.232761e-01 2.232761e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.425557e+01 -3.115609e-02 3.115609e-02 -1.802742e-01 1.802742e-01 1.829467e-01 1.829467e-01
