# H AMS02(2011/10-2011/11)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 1.083543e+03 -9.882703e+00 9.882703e+00 -3.541206e+01 3.541206e+01 3.676523e+01 3.676523e+01
6.207188e-01 5.564008e-01 6.924719e-01 1.009842e+03 -3.465646e+00 3.465646e+00 -2.818831e+01 2.818831e+01 2.840055e+01 2.840055e+01
7.640104e-01 6.924719e-01 8.429394e-01 9.175877e+02 -2.759491e+00 2.759491e+00 -2.115680e+01 2.115680e+01 2.133600e+01 2.133600e+01
9.254392e-01 8.429394e-01 1.016013e+00 8.240766e+02 -1.907988e+00 1.907988e+00 -1.742343e+01 1.742343e+01 1.752759e+01 1.752759e+01
1.105475e+00 1.016013e+00 1.202814e+00 7.265569e+02 -1.572336e+00 1.572336e+00 -1.413744e+01 1.413744e+01 1.422461e+01 1.422461e+01
1.303178e+00 1.202814e+00 1.411917e+00 6.309230e+02 -1.278294e+00 1.278294e+00 -1.141401e+01 1.141401e+01 1.148537e+01 1.148537e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.402622e+02 -1.054697e+00 1.054697e+00 -9.163752e+00 9.163752e+00 9.224247e+00 9.224247e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.579886e+02 -8.541962e-01 8.541962e-01 -7.333803e+00 7.333803e+00 7.383381e+00 7.383381e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.864483e+02 -7.011537e-01 7.011537e-01 -5.884608e+00 5.884608e+00 5.926232e+00 5.926232e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.238309e+02 -5.677208e-01 5.677208e-01 -4.787367e+00 4.787367e+00 4.820912e+00 4.820912e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.704253e+02 -4.679858e-01 4.679858e-01 -3.822318e+00 3.822318e+00 3.850860e+00 3.850860e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.247554e+02 -3.878513e-01 3.878513e-01 -3.081261e+00 3.081261e+00 3.105575e+00 3.105575e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.855603e+02 -3.093334e-01 3.093334e-01 -2.553859e+00 2.553859e+00 2.572525e+00 2.572525e+00
