# H AMS02(2011/07-2011/08)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 1.205775e+03 -9.162305e+00 9.162305e+00 -3.541206e+01 3.541206e+01 3.657816e+01 3.657816e+01
6.207188e-01 5.564008e-01 6.924719e-01 1.109134e+03 -4.433240e+00 4.433240e+00 -2.818831e+01 2.818831e+01 2.853479e+01 2.853479e+01
7.640104e-01 6.924719e-01 8.429394e-01 9.952243e+02 -3.464129e+00 3.464129e+00 -2.115680e+01 2.115680e+01 2.143853e+01 2.143853e+01
9.254392e-01 8.429394e-01 1.016013e+00 8.860701e+02 -2.343330e+00 2.343330e+00 -1.742343e+01 1.742343e+01 1.758030e+01 1.758030e+01
1.105475e+00 1.016013e+00 1.202814e+00 7.530663e+02 -1.743896e+00 1.743896e+00 -1.413744e+01 1.413744e+01 1.424459e+01 1.424459e+01
1.303178e+00 1.202814e+00 1.411917e+00 6.523038e+02 -1.413560e+00 1.413560e+00 -1.141401e+01 1.141401e+01 1.150121e+01 1.150121e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.565431e+02 -1.163197e+00 1.163197e+00 -9.163752e+00 9.163752e+00 9.237282e+00 9.237282e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.694279e+02 -9.455515e-01 9.455515e-01 -7.333803e+00 7.333803e+00 7.394507e+00 7.394507e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.939976e+02 -7.718902e-01 7.718902e-01 -5.884608e+00 5.884608e+00 5.935017e+00 5.935017e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.292879e+02 -6.272263e-01 6.272263e-01 -4.787367e+00 4.787367e+00 4.828281e+00 4.828281e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.734409e+02 -5.138397e-01 5.138397e-01 -3.822318e+00 3.822318e+00 3.856701e+00 3.856701e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.268841e+02 -4.250539e-01 4.250539e-01 -3.081261e+00 3.081261e+00 3.110441e+00 3.110441e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.877667e+02 -3.422698e-01 3.422698e-01 -2.553859e+00 2.553859e+00 2.576693e+00 2.576693e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.537411e+02 -2.721794e-01 2.721794e-01 -2.034913e+00 2.034913e+00 2.053035e+00 2.053035e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.246530e+02 -2.201240e-01 2.201240e-01 -1.622813e+00 1.622813e+00 1.637674e+00 1.637674e+00
4.773400e+00 4.519107e+00 5.042003e+00 1.015159e+02 -1.808760e-01 1.808760e-01 -1.314777e+00 1.314777e+00 1.327160e+00 1.327160e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.214032e+01 -1.474425e-01 1.474425e-01 -1.049508e+00 1.049508e+00 1.059814e+00 1.059814e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.607445e+01 -1.184457e-01 1.184457e-01 -8.361832e-01 8.361832e-01 8.445305e-01 8.445305e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.343855e+01 -9.620202e-02 9.620202e-02 -6.739916e-01 6.739916e-01 6.808227e-01 6.808227e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.299788e+01 -7.908432e-02 7.908432e-02 -5.425176e-01 5.425176e-01 5.482515e-01 5.482515e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.449594e+01 -6.557464e-02 6.557464e-02 -4.315627e-01 4.315627e-01 4.365162e-01 4.365162e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.764888e+01 -5.500036e-02 5.500036e-02 -3.410616e-01 3.410616e-01 3.454679e-01 3.454679e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.213306e+01 -4.639676e-02 4.639676e-02 -2.806086e-01 2.806086e-01 2.844184e-01 2.844184e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.780339e+01 -3.857443e-02 3.857443e-02 -2.204042e-01 2.204042e-01 2.237543e-01 2.237543e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.417149e+01 -3.356242e-02 3.356242e-02 -1.802742e-01 1.802742e-01 1.833718e-01 1.833718e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.152763e+01 -2.810113e-02 2.810113e-02 -1.501234e-01 1.501234e-01 1.527308e-01 1.527308e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.307951e+00 -2.348980e-02 2.348980e-02 -1.180799e-01 1.180799e-01 1.203937e-01 1.203937e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.505143e+00 -1.961983e-02 1.961983e-02 -9.504511e-02 9.504511e-02 9.704901e-02 9.704901e-02
1.637917e+01 1.569509e+01 1.709306e+01 6.011595e+00 -1.627164e-02 1.627164e-02 -7.701747e-02 7.701747e-02 7.871758e-02 7.871758e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.820281e+00 -1.338105e-02 1.338105e-02 -6.200437e-02 6.200437e-02 6.343181e-02 6.343181e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.909219e+00 -1.111777e-02 1.111777e-02 -5.000083e-02 5.000083e-02 5.122195e-02 5.122195e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.151182e+00 -9.312190e-03 9.312190e-03 -4.099350e-02 4.099350e-02 4.203789e-02 4.203789e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.535703e+00 -7.627599e-03 7.627599e-03 -3.298839e-02 3.298839e-02 3.385874e-02 3.385874e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.036384e+00 -6.437745e-03 6.437745e-03 -2.599144e-02 2.599144e-02 2.677685e-02 2.677685e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.645287e+00 -5.533700e-03 5.533700e-03 -2.099243e-02 2.099243e-02 2.170954e-02 2.170954e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.337621e+00 -4.733228e-03 4.733228e-03 -1.699400e-02 1.699400e-02 1.764085e-02 1.764085e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.071937e+00 -4.127323e-03 4.127323e-03 -1.399452e-02 1.399452e-02 1.459046e-02 1.459046e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.745264e-01 -3.570596e-03 3.570596e-03 -1.149448e-02 1.149448e-02 1.203629e-02 1.203629e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.074396e-01 -3.089698e-03 3.089698e-03 -9.295723e-03 9.295723e-03 9.795749e-03 9.795749e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.782250e-01 -2.694348e-03 2.694348e-03 -7.596332e-03 7.596332e-03 8.060011e-03 8.060011e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.696253e-01 -2.347393e-03 2.347393e-03 -6.197074e-03 6.197074e-03 6.626762e-03 6.626762e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.816662e-01 -2.049778e-03 2.049778e-03 -5.097606e-03 5.097606e-03 5.494286e-03 5.494286e-03
4.939300e+01 4.757793e+01 5.127730e+01 3.148345e-01 -1.781771e-03 1.781771e-03 -4.197749e-03 4.197749e-03 4.560242e-03 4.560242e-03
