# H AMS02(2013/07-2013/08)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 6.357738e+02 -3.992187e+00 3.992187e+00 -3.541206e+01 3.541206e+01 3.563638e+01 3.563638e+01
6.207188e-01 5.564008e-01 6.924719e-01 6.158359e+02 -2.568772e+00 2.568772e+00 -2.818831e+01 2.818831e+01 2.830511e+01 2.830511e+01
7.640104e-01 6.924719e-01 8.429394e-01 5.884087e+02 -2.155690e+00 2.155690e+00 -2.115680e+01 2.115680e+01 2.126634e+01 2.126634e+01
9.254392e-01 8.429394e-01 1.016013e+00 5.464727e+02 -1.527820e+00 1.527820e+00 -1.742343e+01 1.742343e+01 1.749029e+01 1.749029e+01
1.105475e+00 1.016013e+00 1.202814e+00 5.007167e+02 -1.281616e+00 1.281616e+00 -1.413744e+01 1.413744e+01 1.419541e+01 1.419541e+01
1.303178e+00 1.202814e+00 1.411917e+00 4.540727e+02 -1.058100e+00 1.058100e+00 -1.141401e+01 1.141401e+01 1.146295e+01 1.146295e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.027222e+02 -8.860587e-01 8.860587e-01 -9.163752e+00 9.163752e+00 9.206490e+00 9.206490e+00
1.765414e+00 1.643250e+00 1.896660e+00 3.551390e+02 -7.356433e-01 7.356433e-01 -7.333803e+00 7.333803e+00 7.370606e+00 7.370606e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.092540e+02 -6.118506e-01 6.118506e-01 -5.884608e+00 5.884608e+00 5.916331e+00 5.916331e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.656876e+02 -5.027196e-01 5.027196e-01 -4.787367e+00 4.787367e+00 4.813690e+00 4.813690e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.280965e+02 -4.226503e-01 4.226503e-01 -3.822318e+00 3.822318e+00 3.845614e+00 3.845614e+00
3.005121e+00 2.826175e+00 3.195398e+00 1.933056e+02 -3.524103e-01 3.524103e-01 -3.081261e+00 3.081261e+00 3.101348e+00 3.101348e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.633697e+02 -2.846530e-01 2.846530e-01 -2.553859e+00 2.553859e+00 2.569674e+00 2.569674e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.365535e+02 -2.297757e-01 2.297757e-01 -2.034913e+00 2.034913e+00 2.047845e+00 2.047845e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.133950e+02 -1.897362e-01 1.897362e-01 -1.622813e+00 1.622813e+00 1.633867e+00 1.633867e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.345150e+01 -1.572195e-01 1.572195e-01 -1.314777e+00 1.314777e+00 1.324144e+00 1.324144e+00
5.316357e+00 5.042003e+00 5.605640e+00 7.652178e+01 -1.290207e-01 1.290207e-01 -1.049508e+00 1.049508e+00 1.057409e+00 1.057409e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.254994e+01 -1.045718e-01 1.045718e-01 -8.361832e-01 8.361832e-01 8.426966e-01 8.426966e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.067265e+01 -8.529456e-02 8.529456e-02 -6.739916e-01 6.739916e-01 6.793672e-01 6.793672e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.106619e+01 -7.075783e-02 7.075783e-02 -5.425176e-01 5.425176e-01 5.471124e-01 5.471124e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.329085e+01 -5.923602e-02 5.923602e-02 -4.315627e-01 4.315627e-01 4.356091e-01 4.356091e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.680157e+01 -4.988732e-02 4.988732e-02 -3.410616e-01 3.410616e-01 3.446908e-01 3.446908e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.158109e+01 -4.223232e-02 4.223232e-02 -2.806086e-01 2.806086e-01 2.837688e-01 2.837688e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.739638e+01 -3.514205e-02 3.514205e-02 -2.204042e-01 2.204042e-01 2.231882e-01 2.231882e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.402303e+01 -3.074383e-02 3.074383e-02 -1.802742e-01 1.802742e-01 1.828769e-01 1.828769e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.135886e+01 -2.565188e-02 2.565188e-02 -1.501234e-01 1.501234e-01 1.522992e-01 1.522992e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.185811e+00 -2.143948e-02 2.143948e-02 -1.180799e-01 1.180799e-01 1.200105e-01 1.200105e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.380552e+00 -1.784784e-02 1.784784e-02 -9.504511e-02 9.504511e-02 9.670635e-02 9.670635e-02
1.637917e+01 1.569509e+01 1.709306e+01 5.925238e+00 -1.474930e-02 1.474930e-02 -7.701747e-02 7.701747e-02 7.841704e-02 7.841704e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.765344e+00 -1.209132e-02 1.209132e-02 -6.200437e-02 6.200437e-02 6.317232e-02 6.317232e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.858989e+00 -1.007143e-02 1.007143e-02 -5.000083e-02 5.000083e-02 5.100507e-02 5.100507e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.140116e+00 -8.512426e-03 8.512426e-03 -4.099350e-02 4.099350e-02 4.186799e-02 4.186799e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.521773e+00 -6.990268e-03 6.990268e-03 -3.298839e-02 3.298839e-02 3.372088e-02 3.372088e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.023928e+00 -5.931093e-03 5.931093e-03 -2.599144e-02 2.599144e-02 2.665957e-02 2.665957e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.644029e+00 -5.126664e-03 5.126664e-03 -2.099243e-02 2.099243e-02 2.160937e-02 2.160937e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.320355e+00 -4.379462e-03 4.379462e-03 -1.699400e-02 1.699400e-02 1.754924e-02 1.754924e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.078337e+00 -3.868463e-03 3.868463e-03 -1.399452e-02 1.399452e-02 1.451935e-02 1.451935e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.767338e-01 -3.346361e-03 3.346361e-03 -1.149448e-02 1.149448e-02 1.197168e-02 1.197168e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.100193e-01 -2.897724e-03 2.897724e-03 -9.295723e-03 9.295723e-03 9.736903e-03 9.736903e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.815930e-01 -2.530124e-03 2.530124e-03 -7.596332e-03 7.596332e-03 8.006609e-03 8.006609e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.682846e-01 -2.195231e-03 2.195231e-03 -6.197074e-03 6.197074e-03 6.574402e-03 6.574402e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.815011e-01 -1.919686e-03 1.919686e-03 -5.097606e-03 5.097606e-03 5.447089e-03 5.447089e-03
4.939300e+01 4.757793e+01 5.127730e+01 3.100610e-01 -1.656802e-03 1.656802e-03 -4.197749e-03 4.197749e-03 4.512880e-03 4.512880e-03
