# H AMS02(2013/06-2013/07)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 6.215882e+02 -4.376297e+00 4.376297e+00 -3.541206e+01 3.541206e+01 3.568145e+01 3.568145e+01
6.207188e-01 5.564008e-01 6.924719e-01 6.095214e+02 -2.574044e+00 2.574044e+00 -2.818831e+01 2.818831e+01 2.830559e+01 2.830559e+01
7.640104e-01 6.924719e-01 8.429394e-01 5.816022e+02 -2.165024e+00 2.165024e+00 -2.115680e+01 2.115680e+01 2.126729e+01 2.126729e+01
9.254392e-01 8.429394e-01 1.016013e+00 5.406405e+02 -1.550361e+00 1.550361e+00 -1.742343e+01 1.742343e+01 1.749227e+01 1.749227e+01
1.105475e+00 1.016013e+00 1.202814e+00 4.943686e+02 -1.300948e+00 1.300948e+00 -1.413744e+01 1.413744e+01 1.419717e+01 1.419717e+01
1.303178e+00 1.202814e+00 1.411917e+00 4.447813e+02 -1.067611e+00 1.067611e+00 -1.141401e+01 1.141401e+01 1.146383e+01 1.146383e+01
1.523198e+00 1.411917e+00 1.643250e+00 3.939379e+02 -8.916274e-01 8.916274e-01 -9.163752e+00 9.163752e+00 9.207027e+00 9.207027e+00
1.765414e+00 1.643250e+00 1.896660e+00 3.464745e+02 -7.368263e-01 7.368263e-01 -7.333803e+00 7.333803e+00 7.370724e+00 7.370724e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.025024e+02 -6.125111e-01 6.125111e-01 -5.884608e+00 5.884608e+00 5.916399e+00 5.916399e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.606191e+02 -5.022394e-01 5.022394e-01 -4.787367e+00 4.787367e+00 4.813640e+00 4.813640e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.229205e+02 -4.206017e-01 4.206017e-01 -3.822318e+00 3.822318e+00 3.845390e+00 3.845390e+00
3.005121e+00 2.826175e+00 3.195398e+00 1.895240e+02 -3.510348e-01 3.510348e-01 -3.081261e+00 3.081261e+00 3.101192e+00 3.101192e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.598443e+02 -2.825405e-01 2.825405e-01 -2.553859e+00 2.553859e+00 2.569441e+00 2.569441e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.338279e+02 -2.279233e-01 2.279233e-01 -2.034913e+00 2.034913e+00 2.047638e+00 2.047638e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.108875e+02 -1.877913e-01 1.877913e-01 -1.622813e+00 1.622813e+00 1.633642e+00 1.633642e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.101573e+01 -1.552765e-01 1.552765e-01 -1.314777e+00 1.314777e+00 1.323914e+00 1.323914e+00
5.316357e+00 5.042003e+00 5.605640e+00 7.485139e+01 -1.276904e-01 1.276904e-01 -1.049508e+00 1.049508e+00 1.057247e+00 1.057247e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.110281e+01 -1.032799e-01 1.032799e-01 -8.361832e-01 8.361832e-01 8.425373e-01 8.425373e-01
6.543820e+00 6.219864e+00 6.884648e+00 4.974656e+01 -8.436664e-02 8.436664e-02 -6.739916e-01 6.739916e-01 6.792514e-01 6.792514e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.034946e+01 -6.995570e-02 6.995570e-02 -5.425176e-01 5.425176e-01 5.470093e-01 5.470093e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.267880e+01 -5.851119e-02 5.851119e-02 -4.315627e-01 4.315627e-01 4.355111e-01 4.355111e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.629343e+01 -4.925220e-02 4.925220e-02 -3.410616e-01 3.410616e-01 3.445995e-01 3.445995e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.129290e+01 -4.180902e-02 4.180902e-02 -2.806086e-01 2.806086e-01 2.837062e-01 2.837062e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.711236e+01 -3.474034e-02 3.474034e-02 -2.204042e-01 2.204042e-01 2.231253e-01 2.231253e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.382730e+01 -3.043728e-02 3.043728e-02 -1.802742e-01 1.802742e-01 1.828256e-01 1.828256e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.122591e+01 -2.542429e-02 2.542429e-02 -1.501234e-01 1.501234e-01 1.522611e-01 1.522611e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.095885e+00 -2.126920e-02 2.126920e-02 -1.180799e-01 1.180799e-01 1.199802e-01 1.199802e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.322459e+00 -1.773102e-02 1.773102e-02 -9.504511e-02 9.504511e-02 9.668486e-02 9.668486e-02
1.637917e+01 1.569509e+01 1.709306e+01 5.903833e+00 -1.469356e-02 1.469356e-02 -7.701747e-02 7.701747e-02 7.840658e-02 7.840658e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.770660e+00 -1.207874e-02 1.207874e-02 -6.200437e-02 6.200437e-02 6.316991e-02 6.316991e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.842763e+00 -1.002155e-02 1.002155e-02 -5.000083e-02 5.000083e-02 5.099524e-02 5.099524e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.120669e+00 -8.459180e-03 8.459180e-03 -4.099350e-02 4.099350e-02 4.185719e-02 4.185719e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.521778e+00 -6.966450e-03 6.966450e-03 -3.298839e-02 3.298839e-02 3.371595e-02 3.371595e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.017480e+00 -5.898309e-03 5.898309e-03 -2.599144e-02 2.599144e-02 2.665230e-02 2.665230e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.639230e+00 -5.092128e-03 5.092128e-03 -2.099243e-02 2.099243e-02 2.160120e-02 2.160120e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.319712e+00 -4.353210e-03 4.353210e-03 -1.699400e-02 1.699400e-02 1.754270e-02 1.754270e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.073763e+00 -3.836434e-03 3.836434e-03 -1.399452e-02 1.399452e-02 1.451085e-02 1.451085e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.654187e-01 -3.302860e-03 3.302860e-03 -1.149448e-02 1.149448e-02 1.195960e-02 1.195960e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.050388e-01 -2.867504e-03 2.867504e-03 -9.295723e-03 9.295723e-03 9.727952e-03 9.727952e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.698829e-01 -2.486321e-03 2.486321e-03 -7.596332e-03 7.596332e-03 7.992875e-03 7.992875e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.694216e-01 -2.181328e-03 2.181328e-03 -6.197074e-03 6.197074e-03 6.569773e-03 6.569773e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.796735e-01 -1.900269e-03 1.900269e-03 -5.097606e-03 5.097606e-03 5.440277e-03 5.440277e-03
4.939300e+01 4.757793e+01 5.127730e+01 3.108156e-01 -1.645794e-03 1.645794e-03 -4.197749e-03 4.197749e-03 4.508851e-03 4.508851e-03
