# H AMS02(2012/03-2012/04)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 9.202510e+02 -6.558181e+00 6.558181e+00 -3.541206e+01 3.541206e+01 3.601422e+01 3.601422e+01
6.207188e-01 5.564008e-01 6.924719e-01 8.690421e+02 -3.291307e+00 3.291307e+00 -2.818831e+01 2.818831e+01 2.837981e+01 2.837981e+01
7.640104e-01 6.924719e-01 8.429394e-01 8.025052e+02 -2.700829e+00 2.700829e+00 -2.115680e+01 2.115680e+01 2.132849e+01 2.132849e+01
9.254392e-01 8.429394e-01 1.016013e+00 7.146741e+02 -1.873348e+00 1.873348e+00 -1.742343e+01 1.742343e+01 1.752385e+01 1.752385e+01
1.105475e+00 1.016013e+00 1.202814e+00 6.340179e+02 -1.546597e+00 1.546597e+00 -1.413744e+01 1.413744e+01 1.422179e+01 1.422179e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.533608e+02 -1.257330e+00 1.257330e+00 -1.141401e+01 1.141401e+01 1.148305e+01 1.148305e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.747474e+02 -1.037088e+00 1.037088e+00 -9.163752e+00 9.163752e+00 9.222250e+00 9.222250e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.094993e+02 -8.447218e-01 8.447218e-01 -7.333803e+00 7.333803e+00 7.382291e+00 7.382291e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.462441e+02 -6.921256e-01 6.921256e-01 -5.884608e+00 5.884608e+00 5.925171e+00 5.925171e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.919452e+02 -5.580709e-01 5.580709e-01 -4.787367e+00 4.787367e+00 4.819785e+00 4.819785e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.454110e+02 -4.613895e-01 4.613895e-01 -3.822318e+00 3.822318e+00 3.850064e+00 3.850064e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.059163e+02 -3.830883e-01 3.830883e-01 -3.081261e+00 3.081261e+00 3.104984e+00 3.104984e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.705403e+02 -3.053400e-01 3.053400e-01 -2.553859e+00 2.553859e+00 2.572047e+00 2.572047e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.412409e+02 -2.439379e-01 2.439379e-01 -2.034913e+00 2.034913e+00 2.049482e+00 2.049482e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.160272e+02 -1.993359e-01 1.993359e-01 -1.622813e+00 1.622813e+00 1.635010e+00 1.635010e+00
