# H AMS02(2012/01-2012/01)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 1.150935e+03 -7.757135e+00 7.757135e+00 -3.541206e+01 3.541206e+01 3.625172e+01 3.625172e+01
6.207188e-01 5.564008e-01 6.924719e-01 1.090833e+03 -3.694494e+00 3.694494e+00 -2.818831e+01 2.818831e+01 2.842939e+01 2.842939e+01
7.640104e-01 6.924719e-01 8.429394e-01 9.883957e+02 -2.985790e+00 2.985790e+00 -2.115680e+01 2.115680e+01 2.136645e+01 2.136645e+01
9.254392e-01 8.429394e-01 1.016013e+00 8.797546e+02 -2.039252e+00 2.039252e+00 -1.742343e+01 1.742343e+01 1.754236e+01 1.754236e+01
1.105475e+00 1.016013e+00 1.202814e+00 7.723425e+02 -1.673243e+00 1.673243e+00 -1.413744e+01 1.413744e+01 1.423611e+01 1.423611e+01
1.303178e+00 1.202814e+00 1.411917e+00 6.672066e+02 -1.351460e+00 1.351460e+00 -1.141401e+01 1.141401e+01 1.149374e+01 1.149374e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.699687e+02 -1.111785e+00 1.111785e+00 -9.163752e+00 9.163752e+00 9.230949e+00 9.230949e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.818613e+02 -9.000451e-01 9.000451e-01 -7.333803e+00 7.333803e+00 7.388826e+00 7.388826e+00
2.034101e+00 1.896660e+00 2.181501e+00 4.045563e+02 -7.344373e-01 7.344373e-01 -5.884608e+00 5.884608e+00 5.930262e+00 5.930262e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.373971e+02 -5.921827e-01 5.921827e-01 -4.787367e+00 4.787367e+00 4.823854e+00 4.823854e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.817815e+02 -4.888888e-01 4.888888e-01 -3.822318e+00 3.822318e+00 3.853457e+00 3.853457e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.332885e+02 -4.029895e-01 4.029895e-01 -3.081261e+00 3.081261e+00 3.107502e+00 3.107502e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.924684e+02 -3.210809e-01 3.210809e-01 -2.553859e+00 2.553859e+00 2.573964e+00 2.573964e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.573497e+02 -2.552361e-01 2.552361e-01 -2.034913e+00 2.034913e+00 2.050857e+00 2.050857e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.284208e+02 -2.082886e-01 2.082886e-01 -1.622813e+00 1.622813e+00 1.636125e+00 1.636125e+00
4.773400e+00 4.519107e+00 5.042003e+00 1.039402e+02 -1.710501e-01 1.710501e-01 -1.314777e+00 1.314777e+00 1.325857e+00 1.325857e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.413851e+01 -1.395626e-01 1.395626e-01 -1.049508e+00 1.049508e+00 1.058747e+00 1.058747e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.791156e+01 -1.120595e-01 1.120595e-01 -8.361832e-01 8.361832e-01 8.436585e-01 8.436585e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.446439e+01 -9.074286e-02 9.074286e-02 -6.739916e-01 6.739916e-01 6.800727e-01 6.800727e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.396265e+01 -7.483777e-02 7.483777e-02 -5.425176e-01 5.425176e-01 5.476550e-01 5.476550e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.496523e+01 -6.192058e-02 6.192058e-02 -4.315627e-01 4.315627e-01 4.359822e-01 4.359822e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.813386e+01 -5.207305e-02 5.207305e-02 -3.410616e-01 3.410616e-01 3.450139e-01 3.450139e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.245365e+01 -4.384827e-02 4.384827e-02 -2.806086e-01 2.806086e-01 2.840138e-01 2.840138e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.806007e+01 -3.641957e-02 3.641957e-02 -2.204042e-01 2.204042e-01 2.233929e-01 2.233929e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.443760e+01 -3.172234e-02 3.172234e-02 -1.802742e-01 1.802742e-01 1.830440e-01 1.830440e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.165137e+01 -2.640913e-02 2.640913e-02 -1.501234e-01 1.501234e-01 1.524286e-01 1.524286e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.372787e+00 -2.200354e-02 2.200354e-02 -1.180799e-01 1.180799e-01 1.201125e-01 1.201125e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.543241e+00 -1.833256e-02 1.833256e-02 -9.504511e-02 9.504511e-02 9.679698e-02 9.679698e-02
1.637917e+01 1.569509e+01 1.709306e+01 6.040024e+00 -1.516063e-02 1.516063e-02 -7.701747e-02 7.701747e-02 7.849545e-02 7.849545e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.864018e+00 -1.243632e-02 1.243632e-02 -6.200437e-02 6.200437e-02 6.323926e-02 6.323926e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.905672e+00 -1.028350e-02 1.028350e-02 -5.000083e-02 5.000083e-02 5.104736e-02 5.104736e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.178269e+00 -8.680394e-03 8.680394e-03 -4.099350e-02 4.099350e-02 4.190246e-02 4.190246e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.556682e+00 -7.128734e-03 7.128734e-03 -3.298839e-02 3.298839e-02 3.374986e-02 3.374986e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.054907e+00 -6.047140e-03 6.047140e-03 -2.599144e-02 2.599144e-02 2.668563e-02 2.668563e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.645755e+00 -5.179198e-03 5.179198e-03 -2.099243e-02 2.099243e-02 2.162189e-02 2.162189e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.335421e+00 -4.441814e-03 4.441814e-03 -1.699400e-02 1.699400e-02 1.756490e-02 1.756490e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.085823e+00 -3.916088e-03 3.916088e-03 -1.399452e-02 1.399452e-02 1.453211e-02 1.453211e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.791417e-01 -3.381614e-03 3.381614e-03 -1.149448e-02 1.149448e-02 1.198159e-02 1.198159e-02
