# H AMS02(2013/03-2013/04)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 7.866388e+02 -5.114193e+00 5.114193e+00 -3.541206e+01 3.541206e+01 3.577945e+01 3.577945e+01
6.207188e-01 5.564008e-01 6.924719e-01 7.666758e+02 -2.948797e+00 2.948797e+00 -2.818831e+01 2.818831e+01 2.834213e+01 2.834213e+01
7.640104e-01 6.924719e-01 8.429394e-01 7.239964e+02 -2.439275e+00 2.439275e+00 -2.115680e+01 2.115680e+01 2.129695e+01 2.129695e+01
9.254392e-01 8.429394e-01 1.016013e+00 6.681495e+02 -1.702614e+00 1.702614e+00 -1.742343e+01 1.742343e+01 1.750642e+01 1.750642e+01
1.105475e+00 1.016013e+00 1.202814e+00 6.043928e+02 -1.424053e+00 1.424053e+00 -1.413744e+01 1.413744e+01 1.420898e+01 1.420898e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.373481e+02 -1.172110e+00 1.172110e+00 -1.141401e+01 1.141401e+01 1.147403e+01 1.147403e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.680047e+02 -9.755879e-01 9.755879e-01 -9.163752e+00 9.163752e+00 9.215537e+00 9.215537e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.079463e+02 -8.025108e-01 8.025108e-01 -7.333803e+00 7.333803e+00 7.377580e+00 7.377580e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.505021e+02 -6.630205e-01 6.630205e-01 -5.884608e+00 5.884608e+00 5.921842e+00 5.921842e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.964774e+02 -5.397237e-01 5.397237e-01 -4.787367e+00 4.787367e+00 4.817695e+00 4.817695e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.521435e+02 -4.502648e-01 4.502648e-01 -3.822318e+00 3.822318e+00 3.848747e+00 3.848747e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.113572e+02 -3.732351e-01 3.732351e-01 -3.081261e+00 3.081261e+00 3.103784e+00 3.103784e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.753593e+02 -2.986259e-01 2.986259e-01 -2.553859e+00 2.553859e+00 2.571259e+00 2.571259e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.453076e+02 -2.395588e-01 2.395588e-01 -2.034913e+00 2.034913e+00 2.048965e+00 2.048965e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.193888e+02 -1.962695e-01 1.962695e-01 -1.622813e+00 1.622813e+00 1.634639e+00 1.634639e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.769041e+01 -1.620278e-01 1.620278e-01 -1.314777e+00 1.314777e+00 1.324723e+00 1.324723e+00
5.316357e+00 5.042003e+00 5.605640e+00 7.928973e+01 -1.323779e-01 1.323779e-01 -1.049508e+00 1.049508e+00 1.057824e+00 1.057824e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.442690e+01 -1.068097e-01 1.068097e-01 -8.361832e-01 8.361832e-01 8.429773e-01 8.429773e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.198259e+01 -8.689049e-02 8.689049e-02 -6.739916e-01 6.739916e-01 6.795694e-01 6.795694e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.188233e+01 -7.175430e-02 7.175430e-02 -5.425176e-01 5.425176e-01 5.472422e-01 5.472422e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.373858e+01 -5.983985e-02 5.983985e-02 -4.315627e-01 4.315627e-01 4.356916e-01 4.356916e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.723334e+01 -5.044578e-02 5.044578e-02 -3.410616e-01 3.410616e-01 3.447721e-01 3.447721e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.179959e+01 -4.257108e-02 4.257108e-02 -2.806086e-01 2.806086e-01 2.838195e-01 2.838195e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.747672e+01 -3.533492e-02 3.533492e-02 -2.204042e-01 2.204042e-01 2.232187e-01 2.232187e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.410520e+01 -3.094078e-02 3.094078e-02 -1.802742e-01 1.802742e-01 1.829101e-01 1.829101e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.139402e+01 -2.578612e-02 2.578612e-02 -1.501234e-01 1.501234e-01 1.523219e-01 1.523219e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.226432e+00 -2.156498e-02 2.156498e-02 -1.180799e-01 1.180799e-01 1.200330e-01 1.200330e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.418909e+00 -1.796941e-02 1.796941e-02 -9.504511e-02 9.504511e-02 9.672886e-02 9.672886e-02
1.637917e+01 1.569509e+01 1.709306e+01 5.966967e+00 -1.487338e-02 1.487338e-02 -7.701747e-02 7.701747e-02 7.844047e-02 7.844047e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.831676e+00 -1.223444e-02 1.223444e-02 -6.200437e-02 6.200437e-02 6.319987e-02 6.319987e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.867768e+00 -1.011635e-02 1.011635e-02 -5.000083e-02 5.000083e-02 5.101395e-02 5.101395e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.137684e+00 -8.539535e-03 8.539535e-03 -4.099350e-02 4.099350e-02 4.187351e-02 4.187351e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.531174e+00 -7.026866e-03 7.026866e-03 -3.298839e-02 3.298839e-02 3.372849e-02 3.372849e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.037077e+00 -5.968650e-03 5.968650e-03 -2.599144e-02 2.599144e-02 2.666795e-02 2.666795e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.642757e+00 -5.133993e-03 5.133993e-03 -2.099243e-02 2.099243e-02 2.161111e-02 2.161111e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.334759e+00 -4.407954e-03 4.407954e-03 -1.699400e-02 1.699400e-02 1.755637e-02 1.755637e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.080525e+00 -3.875838e-03 3.875838e-03 -1.399452e-02 1.399452e-02 1.452132e-02 1.452132e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.792908e-01 -3.353776e-03 3.353776e-03 -1.149448e-02 1.149448e-02 1.197376e-02 1.197376e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.106500e-01 -2.900733e-03 2.900733e-03 -9.295723e-03 9.295723e-03 9.737798e-03 9.737798e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.792538e-01 -2.526051e-03 2.526051e-03 -7.596332e-03 7.596332e-03 8.005323e-03 8.005323e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.702746e-01 -2.200309e-03 2.200309e-03 -6.197074e-03 6.197074e-03 6.576100e-03 6.576100e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.845104e-01 -1.927159e-03 1.927159e-03 -5.097606e-03 5.097606e-03 5.449727e-03 5.449727e-03
4.939300e+01 4.757793e+01 5.127730e+01 3.129116e-01 -1.663906e-03 1.663906e-03 -4.197749e-03 4.197749e-03 4.515493e-03 4.515493e-03
