# H AMS02(2013/01-2013/03)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 8.737143e+02 -6.557429e+00 6.557429e+00 -3.541206e+01 3.541206e+01 3.601408e+01 3.601408e+01
6.207188e-01 5.564008e-01 6.924719e-01 8.350025e+02 -3.216691e+00 3.216691e+00 -2.818831e+01 2.818831e+01 2.837125e+01 2.837125e+01
7.640104e-01 6.924719e-01 8.429394e-01 7.872523e+02 -2.569908e+00 2.569908e+00 -2.115680e+01 2.115680e+01 2.131231e+01 2.131231e+01
9.254392e-01 8.429394e-01 1.016013e+00 7.143699e+02 -1.744890e+00 1.744890e+00 -1.742343e+01 1.742343e+01 1.751058e+01 1.751058e+01
1.105475e+00 1.016013e+00 1.202814e+00 6.449404e+02 -1.455158e+00 1.455158e+00 -1.413744e+01 1.413744e+01 1.421213e+01 1.421213e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.720437e+02 -1.194603e+00 1.194603e+00 -1.141401e+01 1.141401e+01 1.147635e+01 1.147635e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.998362e+02 -9.941837e-01 9.941837e-01 -9.163752e+00 9.163752e+00 9.217524e+00 9.217524e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.344165e+02 -8.214866e-01 8.214866e-01 -7.333803e+00 7.333803e+00 7.379668e+00 7.379668e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.722455e+02 -6.781137e-01 6.781137e-01 -5.884608e+00 5.884608e+00 5.923550e+00 5.923550e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.148059e+02 -5.539294e-01 5.539294e-01 -4.787367e+00 4.787367e+00 4.819307e+00 4.819307e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.648888e+02 -4.597995e-01 4.597995e-01 -3.822318e+00 3.822318e+00 3.849874e+00 3.849874e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.224151e+02 -3.818156e-01 3.818156e-01 -3.081261e+00 3.081261e+00 3.104827e+00 3.104827e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.847241e+02 -3.063039e-01 3.063039e-01 -2.553859e+00 2.553859e+00 2.572162e+00 2.572162e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.529560e+02 -2.460222e-01 2.460222e-01 -2.034913e+00 2.034913e+00 2.049731e+00 2.049731e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.251767e+02 -2.015172e-01 2.015172e-01 -1.622813e+00 1.622813e+00 1.635277e+00 1.635277e+00
4.773400e+00 4.519107e+00 5.042003e+00 1.019805e+02 -1.658433e-01 1.658433e-01 -1.314777e+00 1.314777e+00 1.325195e+00 1.325195e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.275723e+01 -1.353662e-01 1.353662e-01 -1.049508e+00 1.049508e+00 1.058202e+00 1.058202e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.690304e+01 -1.090196e-01 1.090196e-01 -8.361832e-01 8.361832e-01 8.432601e-01 8.432601e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.396293e+01 -8.875121e-02 8.875121e-02 -6.739916e-01 6.739916e-01 6.798099e-01 6.798099e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.347517e+01 -7.335181e-02 7.335181e-02 -5.425176e-01 5.425176e-01 5.474540e-01 5.474540e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.480061e+01 -6.099095e-02 6.099095e-02 -4.315627e-01 4.315627e-01 4.358512e-01 4.358512e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.789326e+01 -5.122801e-02 5.122801e-02 -3.410616e-01 3.410616e-01 3.448874e-01 3.448874e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.232730e+01 -4.322939e-02 4.322939e-02 -2.806086e-01 2.806086e-01 2.839189e-01 2.839189e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.781965e+01 -3.578893e-02 3.578893e-02 -2.204042e-01 2.204042e-01 2.232910e-01 2.232910e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.442606e+01 -3.136826e-02 3.136826e-02 -1.802742e-01 1.802742e-01 1.829829e-01 1.829829e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.161861e+01 -2.610614e-02 2.610614e-02 -1.501234e-01 1.501234e-01 1.523764e-01 1.523764e-01
