# H AMS02(2011/09-2011/10)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 1.123827e+03 -7.988913e+00 7.988913e+00 -3.541206e+01 3.541206e+01 3.630202e+01 3.630202e+01
6.207188e-01 5.564008e-01 6.924719e-01 1.048783e+03 -3.478595e+00 3.478595e+00 -2.818831e+01 2.818831e+01 2.840214e+01 2.840214e+01
7.640104e-01 6.924719e-01 8.429394e-01 9.506784e+02 -2.798123e+00 2.798123e+00 -2.115680e+01 2.115680e+01 2.134103e+01 2.134103e+01
9.254392e-01 8.429394e-01 1.016013e+00 8.470983e+02 -1.931389e+00 1.931389e+00 -1.742343e+01 1.742343e+01 1.753015e+01 1.753015e+01
1.105475e+00 1.016013e+00 1.202814e+00 7.421875e+02 -1.586918e+00 1.586918e+00 -1.413744e+01 1.413744e+01 1.422623e+01 1.422623e+01
1.303178e+00 1.202814e+00 1.411917e+00 6.429965e+02 -1.284922e+00 1.284922e+00 -1.141401e+01 1.141401e+01 1.148611e+01 1.148611e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.489685e+02 -1.059258e+00 1.059258e+00 -9.163752e+00 9.163752e+00 9.224770e+00 9.224770e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.658331e+02 -8.586278e-01 8.586278e-01 -7.333803e+00 7.333803e+00 7.383895e+00 7.383895e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.942310e+02 -7.056227e-01 7.056227e-01 -5.884608e+00 5.884608e+00 5.926763e+00 5.926763e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.291750e+02 -5.700473e-01 5.700473e-01 -4.787367e+00 4.787367e+00 4.821186e+00 4.821186e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.747058e+02 -4.706095e-01 4.706095e-01 -3.822318e+00 3.822318e+00 3.851180e+00 3.851180e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.278741e+02 -3.893015e-01 3.893015e-01 -3.081261e+00 3.081261e+00 3.105757e+00 3.105757e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.881730e+02 -3.107125e-01 3.107125e-01 -2.553859e+00 2.553859e+00 2.572691e+00 2.572691e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.546239e+02 -2.474667e-01 2.474667e-01 -2.034913e+00 2.034913e+00 2.049905e+00 2.049905e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.263819e+02 -2.020464e-01 2.020464e-01 -1.622813e+00 1.622813e+00 1.635342e+00 1.635342e+00
4.773400e+00 4.519107e+00 5.042003e+00 1.025026e+02 -1.662527e-01 1.662527e-01 -1.314777e+00 1.314777e+00 1.325247e+00 1.325247e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.258499e+01 -1.355370e-01 1.355370e-01 -1.049508e+00 1.049508e+00 1.058224e+00 1.058224e+00
