# H AMS02(2012/12-2013/01)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 8.198921e+02 -5.339193e+00 5.339193e+00 -3.541206e+01 3.541206e+01 3.581230e+01 3.581230e+01
6.207188e-01 5.564008e-01 6.924719e-01 7.921900e+02 -2.909555e+00 2.909555e+00 -2.818831e+01 2.818831e+01 2.833807e+01 2.833807e+01
7.640104e-01 6.924719e-01 8.429394e-01 7.460266e+02 -2.411436e+00 2.411436e+00 -2.115680e+01 2.115680e+01 2.129378e+01 2.129378e+01
9.254392e-01 8.429394e-01 1.016013e+00 6.880272e+02 -1.688590e+00 1.688590e+00 -1.742343e+01 1.742343e+01 1.750506e+01 1.750506e+01
1.105475e+00 1.016013e+00 1.202814e+00 6.197455e+02 -1.409328e+00 1.409328e+00 -1.413744e+01 1.413744e+01 1.420751e+01 1.420751e+01
1.303178e+00 1.202814e+00 1.411917e+00 5.546277e+02 -1.160383e+00 1.160383e+00 -1.141401e+01 1.141401e+01 1.147284e+01 1.147284e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.849965e+02 -9.686167e-01 9.686167e-01 -9.163752e+00 9.163752e+00 9.214802e+00 9.214802e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.196453e+02 -7.980731e-01 7.980731e-01 -7.333803e+00 7.333803e+00 7.377099e+00 7.377099e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.615694e+02 -6.617312e-01 6.617312e-01 -5.884608e+00 5.884608e+00 5.921697e+00 5.921697e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.087794e+02 -5.419459e-01 5.419459e-01 -4.787367e+00 4.787367e+00 4.817944e+00 4.817944e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.604182e+02 -4.514968e-01 4.514968e-01 -3.822318e+00 3.822318e+00 3.848891e+00 3.848891e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.191008e+02 -3.757139e-01 3.757139e-01 -3.081261e+00 3.081261e+00 3.104083e+00 3.104083e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.825585e+02 -3.012065e-01 3.012065e-01 -2.553859e+00 2.553859e+00 2.571560e+00 2.571560e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.516104e+02 -2.422347e-01 2.422347e-01 -2.034913e+00 2.034913e+00 2.049280e+00 2.049280e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.240916e+02 -1.983920e-01 1.983920e-01 -1.622813e+00 1.622813e+00 1.634895e+00 1.634895e+00
4.773400e+00 4.519107e+00 5.042003e+00 1.013202e+02 -1.637478e-01 1.637478e-01 -1.314777e+00 1.314777e+00 1.324935e+00 1.324935e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.244550e+01 -1.340669e-01 1.340669e-01 -1.049508e+00 1.049508e+00 1.058036e+00 1.058036e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.682009e+01 -1.081037e-01 1.081037e-01 -8.361832e-01 8.361832e-01 8.431422e-01 8.431422e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.380800e+01 -8.784256e-02 8.784256e-02 -6.739916e-01 6.739916e-01 6.796918e-01 6.796918e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.320416e+01 -7.240525e-02 7.240525e-02 -5.425176e-01 5.425176e-01 5.473279e-01 5.473279e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.483387e+01 -6.039706e-02 6.039706e-02 -4.315627e-01 4.315627e-01 4.357685e-01 4.357685e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.802843e+01 -5.083071e-02 5.083071e-02 -3.410616e-01 3.410616e-01 3.448286e-01 3.448286e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.237854e+01 -4.283454e-02 4.283454e-02 -2.806086e-01 2.806086e-01 2.838591e-01 2.838591e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.786834e+01 -3.547877e-02 3.547877e-02 -2.204042e-01 2.204042e-01 2.232415e-01 2.232415e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.442051e+01 -3.106246e-02 3.106246e-02 -1.802742e-01 1.802742e-01 1.829308e-01 1.829308e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.166280e+01 -2.590198e-02 2.590198e-02 -1.501234e-01 1.501234e-01 1.523415e-01 1.523415e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.416938e+00 -2.163139e-02 2.163139e-02 -1.180799e-01 1.180799e-01 1.200449e-01 1.200449e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.502932e+00 -1.794503e-02 1.794503e-02 -9.504511e-02 9.504511e-02 9.672434e-02 9.672434e-02
1.637917e+01 1.569509e+01 1.709306e+01 6.061077e+00 -1.490009e-02 1.490009e-02 -7.701747e-02 7.701747e-02 7.844554e-02 7.844554e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.872482e+00 -1.221327e-02 1.221327e-02 -6.200437e-02 6.200437e-02 6.319577e-02 6.319577e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.935714e+00 -1.015037e-02 1.015037e-02 -5.000083e-02 5.000083e-02 5.102071e-02 5.102071e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.174130e+00 -8.538162e-03 8.538162e-03 -4.099350e-02 4.099350e-02 4.187323e-02 4.187323e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.536478e+00 -6.992665e-03 6.992665e-03 -3.298839e-02 3.298839e-02 3.372138e-02 3.372138e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.047400e+00 -5.947800e-03 5.947800e-03 -2.599144e-02 2.599144e-02 2.666329e-02 2.666329e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.654369e+00 -5.119922e-03 5.119922e-03 -2.099243e-02 2.099243e-02 2.160777e-02 2.160777e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.338910e+00 -4.386452e-03 4.386452e-03 -1.699400e-02 1.699400e-02 1.755098e-02 1.755098e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.084156e+00 -3.857596e-03 3.857596e-03 -1.399452e-02 1.399452e-02 1.451646e-02 1.451646e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.854801e-01 -3.344126e-03 3.344126e-03 -1.149448e-02 1.149448e-02 1.197106e-02 1.197106e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.100856e-01 -2.881200e-03 2.881200e-03 -9.295723e-03 9.295723e-03 9.731998e-03 9.731998e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.791273e-01 -2.509892e-03 2.509892e-03 -7.596332e-03 7.596332e-03 8.000239e-03 8.000239e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.688480e-01 -2.183311e-03 2.183311e-03 -6.197074e-03 6.197074e-03 6.570432e-03 6.570432e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.795374e-01 -1.902927e-03 1.902927e-03 -5.097606e-03 5.097606e-03 5.441206e-03 5.441206e-03
4.939300e+01 4.757793e+01 5.127730e+01 3.121392e-01 -1.651854e-03 1.651854e-03 -4.197749e-03 4.197749e-03 4.511066e-03 4.511066e-03
