# H AMS02(2013/10-2013/10)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 6.006811e+02 -4.362278e+00 4.362278e+00 -3.541206e+01 3.541206e+01 3.567973e+01 3.567973e+01
6.207188e-01 5.564008e-01 6.924719e-01 5.828193e+02 -2.664973e+00 2.664973e+00 -2.818831e+01 2.818831e+01 2.831401e+01 2.831401e+01
7.640104e-01 6.924719e-01 8.429394e-01 5.614931e+02 -2.232899e+00 2.232899e+00 -2.115680e+01 2.115680e+01 2.127430e+01 2.127430e+01
9.254392e-01 8.429394e-01 1.016013e+00 5.292927e+02 -1.582950e+00 1.582950e+00 -1.742343e+01 1.742343e+01 1.749519e+01 1.749519e+01
1.105475e+00 1.016013e+00 1.202814e+00 4.905576e+02 -1.337310e+00 1.337310e+00 -1.413744e+01 1.413744e+01 1.420055e+01 1.420055e+01
1.303178e+00 1.202814e+00 1.411917e+00 4.481530e+02 -1.112337e+00 1.112337e+00 -1.141401e+01 1.141401e+01 1.146808e+01 1.146808e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.036959e+02 -9.401888e-01 9.401888e-01 -9.163752e+00 9.163752e+00 9.211857e+00 9.211857e+00
1.765414e+00 1.643250e+00 1.896660e+00 3.583393e+02 -7.840597e-01 7.840597e-01 -7.333803e+00 7.333803e+00 7.375596e+00 7.375596e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.142674e+02 -6.546230e-01 6.546230e-01 -5.884608e+00 5.884608e+00 5.920907e+00 5.920907e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.735978e+02 -5.417129e-01 5.417129e-01 -4.787367e+00 4.787367e+00 4.817918e+00 4.817918e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.353991e+02 -4.563250e-01 4.563250e-01 -3.822318e+00 3.822318e+00 3.849461e+00 3.849461e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.001918e+02 -3.818341e-01 3.818341e-01 -3.081261e+00 3.081261e+00 3.104830e+00 3.104830e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.703341e+02 -3.097593e-01 3.097593e-01 -2.553859e+00 2.553859e+00 2.572576e+00 2.572576e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.424581e+02 -2.507029e-01 2.507029e-01 -2.034913e+00 2.034913e+00 2.050298e+00 2.050298e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.181038e+02 -2.071694e-01 2.071694e-01 -1.622813e+00 1.622813e+00 1.635983e+00 1.635983e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.751787e+01 -1.721145e-01 1.721145e-01 -1.314777e+00 1.314777e+00 1.325995e+00 1.325995e+00
5.316357e+00 5.042003e+00 5.605640e+00 8.004327e+01 -1.415819e-01 1.415819e-01 -1.049508e+00 1.049508e+00 1.059015e+00 1.059015e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.515907e+01 -1.146802e-01 1.146802e-01 -8.361832e-01 8.361832e-01 8.440106e-01 8.440106e-01
6.543820e+00 6.219864e+00 6.884648e+00 5.299099e+01 -9.383523e-02 9.383523e-02 -6.739916e-01 6.739916e-01 6.804923e-01 6.804923e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.283484e+01 -7.784938e-02 7.784938e-02 -5.425176e-01 5.425176e-01 5.480747e-01 5.480747e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.461538e+01 -6.509792e-02 6.509792e-02 -4.315627e-01 4.315627e-01 4.364448e-01 4.364448e-01
8.783808e+00 8.375684e+00 9.211818e+00 2.780754e+01 -5.479736e-02 5.479736e-02 -3.410616e-01 3.410616e-01 3.454356e-01 3.454356e-01
9.649667e+00 9.211818e+00 1.010833e+01 2.239094e+01 -4.639565e-02 4.639565e-02 -2.806086e-01 2.806086e-01 2.844183e-01 2.844183e-01
1.059498e+01 1.010833e+01 1.110506e+01 1.796433e+01 -3.852133e-02 3.852133e-02 -2.204042e-01 2.204042e-01 2.237452e-01 2.237452e-01
1.159296e+01 1.110506e+01 1.210229e+01 1.443535e+01 -3.366045e-02 3.366045e-02 -1.802742e-01 1.802742e-01 1.833898e-01 1.833898e-01
1.263909e+01 1.210229e+01 1.319970e+01 1.168025e+01 -2.807858e-02 2.807858e-02 -1.501234e-01 1.501234e-01 1.527267e-01 1.527267e-01
1.378550e+01 1.319970e+01 1.439730e+01 9.439274e+00 -2.345713e-02 2.345713e-02 -1.180799e-01 1.180799e-01 1.203873e-01 1.203873e-01
1.503219e+01 1.439730e+01 1.569509e+01 7.602852e+00 -1.955585e-02 1.955585e-02 -9.504511e-02 9.504511e-02 9.703610e-02 9.703610e-02
1.637917e+01 1.569509e+01 1.709306e+01 6.077103e+00 -1.612088e-02 1.612088e-02 -7.701747e-02 7.701747e-02 7.868655e-02 7.868655e-02
1.782640e+01 1.709306e+01 1.859121e+01 4.895807e+00 -1.322597e-02 1.322597e-02 -6.200437e-02 6.200437e-02 6.339928e-02 6.339928e-02
1.937390e+01 1.859121e+01 2.018953e+01 3.963816e+00 -1.100878e-02 1.100878e-02 -5.000083e-02 5.000083e-02 5.119840e-02 5.119840e-02
2.102162e+01 2.018953e+01 2.188800e+01 3.187343e+00 -9.250808e-03 9.250808e-03 -4.099350e-02 4.099350e-02 4.202433e-02 4.202433e-02
2.281753e+01 2.188800e+01 2.378654e+01 2.556271e+00 -7.589852e-03 7.589852e-03 -3.298839e-02 3.298839e-02 3.385025e-02 3.385025e-02
2.476573e+01 2.378654e+01 2.578523e+01 2.061773e+00 -6.452374e-03 6.452374e-03 -2.599144e-02 2.599144e-02 2.678037e-02 2.678037e-02
2.681411e+01 2.578523e+01 2.788404e+01 1.668241e+00 -5.565661e-03 5.565661e-03 -2.099243e-02 2.099243e-02 2.171770e-02 2.171770e-02
2.901073e+01 2.788404e+01 3.018293e+01 1.344419e+00 -4.760981e-03 4.760981e-03 -1.699400e-02 1.699400e-02 1.764831e-02 1.764831e-02
3.135950e+01 3.018293e+01 3.258193e+01 1.081754e+00 -4.173175e-03 4.173175e-03 -1.399452e-02 1.399452e-02 1.460349e-02 1.460349e-02
3.385654e+01 3.258193e+01 3.518100e+01 8.873841e-01 -3.625269e-03 3.625269e-03 -1.149448e-02 1.149448e-02 1.205262e-02 1.205262e-02
3.655379e+01 3.518100e+01 3.798014e+01 7.212601e-01 -3.144395e-03 3.144395e-03 -9.295723e-03 9.295723e-03 9.813138e-03 9.813138e-03
3.945125e+01 3.798014e+01 4.097934e+01 5.796993e-01 -2.719257e-03 2.719257e-03 -7.596332e-03 7.596332e-03 8.068371e-03 8.068371e-03
4.254892e+01 4.097934e+01 4.417861e+01 4.733234e-01 -2.375722e-03 2.375722e-03 -6.197074e-03 6.197074e-03 6.636850e-03 6.636850e-03
4.584678e+01 4.417861e+01 4.757793e+01 3.847019e-01 -2.075109e-03 2.075109e-03 -5.097606e-03 5.097606e-03 5.503786e-03 5.503786e-03
