# H AMS02(2013/05-2013/06)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 6.836024e+02 -4.585458e+00 4.585458e+00 -3.541206e+01 3.541206e+01 3.570771e+01 3.570771e+01
6.207188e-01 5.564008e-01 6.924719e-01 6.813062e+02 -2.750984e+00 2.750984e+00 -2.818831e+01 2.818831e+01 2.832223e+01 2.832223e+01
7.640104e-01 6.924719e-01 8.429394e-01 6.342423e+02 -2.272292e+00 2.272292e+00 -2.115680e+01 2.115680e+01 2.127847e+01 2.127847e+01
9.254392e-01 8.429394e-01 1.016013e+00 5.866860e+02 -1.583580e+00 1.583580e+00 -1.742343e+01 1.742343e+01 1.749525e+01 1.749525e+01
1.105475e+00 1.016013e+00 1.202814e+00 5.286238e+02 -1.316072e+00 1.316072e+00 -1.413744e+01 1.413744e+01 1.419857e+01 1.419857e+01
1.303178e+00 1.202814e+00 1.411917e+00 4.728452e+02 -1.080629e+00 1.080629e+00 -1.141401e+01 1.141401e+01 1.146505e+01 1.146505e+01
1.523198e+00 1.411917e+00 1.643250e+00 4.152205e+02 -9.007567e-01 9.007567e-01 -9.163752e+00 9.163752e+00 9.207916e+00 9.207916e+00
1.765414e+00 1.643250e+00 1.896660e+00 3.609533e+02 -7.426238e-01 7.426238e-01 -7.333803e+00 7.333803e+00 7.371306e+00 7.371306e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.118311e+02 -6.152933e-01 6.152933e-01 -5.884608e+00 5.884608e+00 5.916688e+00 5.916688e+00
2.329804e+00 2.181501e+00 2.488190e+00 2.676088e+02 -5.055164e-01 5.055164e-01 -4.787367e+00 4.787367e+00 4.813983e+00 4.813983e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.277274e+02 -4.229542e-01 4.229542e-01 -3.822318e+00 3.822318e+00 3.845648e+00 3.845648e+00
3.005121e+00 2.826175e+00 3.195398e+00 1.926521e+02 -3.527493e-01 3.527493e-01 -3.081261e+00 3.081261e+00 3.101387e+00 3.101387e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.615406e+02 -2.840659e-01 2.840659e-01 -2.553859e+00 2.553859e+00 2.569609e+00 2.569609e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.347677e+02 -2.292169e-01 2.292169e-01 -2.034913e+00 2.034913e+00 2.047782e+00 2.047782e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.115972e+02 -1.889075e-01 1.889075e-01 -1.622813e+00 1.622813e+00 1.633771e+00 1.633771e+00
4.773400e+00 4.519107e+00 5.042003e+00 9.170872e+01 -1.564371e-01 1.564371e-01 -1.314777e+00 1.314777e+00 1.324051e+00 1.324051e+00
5.316357e+00 5.042003e+00 5.605640e+00 7.524244e+01 -1.286113e-01 1.286113e-01 -1.049508e+00 1.049508e+00 1.057359e+00 1.057359e+00
5.904771e+00 5.605640e+00 6.219864e+00 6.117032e+01 -1.039505e-01 1.039505e-01 -8.361832e-01 8.361832e-01 8.426198e-01 8.426198e-01
6.543820e+00 6.219864e+00 6.884648e+00 4.952557e+01 -8.480306e-02 8.480306e-02 -6.739916e-01 6.739916e-01 6.793057e-01 6.793057e-01
7.233464e+00 6.884648e+00 7.599953e+00 4.021917e+01 -7.040345e-02 7.040345e-02 -5.425176e-01 5.425176e-01 5.470667e-01 5.470667e-01
7.978396e+00 7.599953e+00 8.375684e+00 3.257715e+01 -5.890841e-02 5.890841e-02 -4.315627e-01 4.315627e-01 4.355647e-01 4.355647e-01
