# H AMS02(2011/08-2011/09)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 1.127940e+03 -7.370426e+00 7.370426e+00 -3.541206e+01 3.541206e+01 3.617094e+01 3.617094e+01
6.207188e-01 5.564008e-01 6.924719e-01 1.072222e+03 -3.588997e+00 3.588997e+00 -2.818831e+01 2.818831e+01 2.841587e+01 2.841587e+01
7.640104e-01 6.924719e-01 8.429394e-01 9.684996e+02 -2.905579e+00 2.905579e+00 -2.115680e+01 2.115680e+01 2.135539e+01 2.135539e+01
9.254392e-01 8.429394e-01 1.016013e+00 8.590826e+02 -1.994617e+00 1.994617e+00 -1.742343e+01 1.742343e+01 1.753723e+01 1.753723e+01
1.105475e+00 1.016013e+00 1.202814e+00 7.568044e+02 -1.638923e+00 1.638923e+00 -1.413744e+01 1.413744e+01 1.423212e+01 1.423212e+01
1.303178e+00 1.202814e+00 1.411917e+00 6.539796e+02 -1.322253e+00 1.322253e+00 -1.141401e+01 1.141401e+01 1.149034e+01 1.149034e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.570125e+02 -1.088212e+00 1.088212e+00 -9.163752e+00 9.163752e+00 9.228139e+00 9.228139e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.739086e+02 -8.826293e-01 8.826293e-01 -7.333803e+00 7.333803e+00 7.386725e+00 7.386725e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.971128e+02 -7.216608e-01 7.216608e-01 -5.884608e+00 5.884608e+00 5.928693e+00 5.928693e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.323272e+02 -5.827298e-01 5.827298e-01 -4.787367e+00 4.787367e+00 4.822702e+00 4.822702e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.772375e+02 -4.807575e-01 4.807575e-01 -3.822318e+00 3.822318e+00 3.852433e+00 3.852433e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.301790e+02 -3.978710e-01 3.978710e-01 -3.081261e+00 3.081261e+00 3.106843e+00 3.106843e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.899819e+02 -3.174727e-01 3.174727e-01 -2.553859e+00 2.553859e+00 2.573516e+00 2.573516e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.559270e+02 -2.527792e-01 2.527792e-01 -2.034913e+00 2.034913e+00 2.050553e+00 2.050553e+00
4.271264e+00 4.037014e+00 4.519107e+00 1.269037e+02 -2.060592e-01 2.060592e-01 -1.622813e+00 1.622813e+00 1.635843e+00 1.635843e+00
