# x yup ylow
0.261151	1.049016289	0.9509837107
0.369324	1.046715813	0.9532841867
0.522303	1.04960015  0.9503998497
0.725948	1.046840802	0.9531591984
0.988686	1.046256632	0.9537433679
1.33079		1.045695356	0.9543046444
1.76375		1.045262033	0.9547379672
2.30052		1.04523314  0.9547668599
2.97584		1.045698987	0.9543010135
3.81678		1.045612598	0.9543874016
4.8466		1.045466607	0.9545333926
6.11449		1.044916155	0.9550838454
7.68088		1.044390578	0.9556094215
9.59271		1.045774793	0.9542252069
11.9294		1.046276822	0.9537231779
14.8138		1.046386029	0.9536139711
18.3916		1.047549352	0.9524506476
22.7739		1.047613803	0.9523861969
28.0956		1.049579184	0.9504208159
34.6133		1.050179268	0.9498207317
42.6183		1.050279215	0.9497207854
52.4677		1.052124445	0.9478755554
64.5081		1.052195057	0.9478049427
79.2319		1.052113901	0.9478860995
97.3776		1.051554405	0.9484455948
119.398		1.061572733	0.9384272667
146.233		1.069613804	0.9303861965
179.549		1.117845368	0.8821546321

   




























   

